Sugar GRN,weight_grn_i1,pre_group,post_group,I1,I2,weight_i1_i2,weight_i2_i3,I3,IPC,weight_i3_ipc,path_length
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940632873261,61,6,720575940610708430,720575940624064295,25,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940632873261,61,6,720575940610708430,720575940632436307,25,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940632873261,61,6,720575940610708430,720575940618694827,17,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940632873261,61,6,720575940610708430,720575940614623455,17,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940632873261,61,6,720575940610708430,720575940611254681,13,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,19,720575940642715040,720575940632436307,8,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,6,720575940610708430,720575940612923390,36,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,6,720575940610708430,720575940628199802,28,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,6,720575940610708430,720575940643539566,27,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,6,720575940610708430,720575940620628957,27,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,6,720575940610708430,720575940631884883,26,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,6,720575940610708430,720575940624064295,25,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,6,720575940610708430,720575940632436307,25,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,6,720575940610708430,720575940618694827,17,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,6,720575940610708430,720575940614623455,17,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940628683063,43,6,720575940610708430,720575940611254681,13,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940632146340,20,6,720575940633711028,720575940618694827,10,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940629317450,17,7,720575940619025780,720575940628199802,7,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940629317450,17,6,720575940630311528,720575940620628957,5,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940634683743,15,5,720575940633711028,720575940618694827,10,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940637580102,12,6,720575940633711028,720575940618694827,10,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940629211607,12,5,720575940630311528,720575940620628957,5,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940614273292,11,7,720575940630311528,720575940620628957,5,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940636574388,9,6,720575940610708430,720575940612923390,36,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940636574388,9,6,720575940610708430,720575940628199802,28,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940636574388,9,6,720575940610708430,720575940643539566,27,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940636574388,9,6,720575940610708430,720575940620628957,27,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940636574388,9,6,720575940610708430,720575940631884883,26,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940636574388,9,6,720575940610708430,720575940624064295,25,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940636574388,9,6,720575940610708430,720575940632436307,25,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940636574388,9,6,720575940610708430,720575940618694827,17,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940636574388,9,6,720575940610708430,720575940614623455,17,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940636574388,9,6,720575940610708430,720575940611254681,13,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940632636959,8,6,720575940631309866,720575940611254681,8,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940621736669,7,5,720575940626021052,720575940628199802,9,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940621736669,7,5,720575940626021052,720575940618694827,5,4
720575940630233916,34,Sugar GRNs,,720575940632648612,720575940645039383,5,5,720575940623040094,720575940612923390,7,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940629370844,9,5,720575940637718598,720575940612923390,8,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940632873261,7,7,720575940644948771,720575940632436307,30,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940632873261,7,6,720575940610708430,720575940612923390,36,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940632873261,7,6,720575940610708430,720575940620628957,27,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940632873261,7,6,720575940610708430,720575940631884883,26,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940632873261,7,6,720575940610708430,720575940624064295,25,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940632873261,7,6,720575940610708430,720575940632436307,25,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940632873261,7,6,720575940610708430,720575940611254681,13,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940639813365,5,6,720575940610708430,720575940612923390,36,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940639813365,5,6,720575940610708430,720575940620628957,27,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940639813365,5,6,720575940610708430,720575940631884883,26,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940639813365,5,6,720575940610708430,720575940624064295,25,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940639813365,5,6,720575940610708430,720575940632436307,25,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940639813365,5,6,720575940610708430,720575940611254681,13,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940628683063,5,19,720575940642715040,720575940632436307,8,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940628683063,5,6,720575940610708430,720575940612923390,36,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940628683063,5,6,720575940610708430,720575940620628957,27,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940628683063,5,6,720575940610708430,720575940631884883,26,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940628683063,5,6,720575940610708430,720575940624064295,25,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940628683063,5,6,720575940610708430,720575940632436307,25,4
720575940638202345,30,Sugar GRNs,,720575940606866377,720575940628683063,5,6,720575940610708430,720575940611254681,13,4
720575940610788069,30,Sugar GRNs,,720575940623210445,720575940611549902,11,6,720575940623040094,720575940612923390,7,4
720575940610788069,30,Sugar GRNs,,720575940623210445,720575940611549902,11,6,720575940623040094,720575940615043112,5,4
720575940610788069,30,Sugar GRNs,,720575940623210445,720575940645039383,5,5,720575940623040094,720575940612923390,7,4
720575940610788069,30,Sugar GRNs,,720575940623210445,720575940645039383,5,5,720575940623040094,720575940615043112,5,4
720575940629176663,30,Sugar GRNs,,720575940628114684,720575940612648106,9,6,720575940621490721,720575940632436307,8,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940628199802,28,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940643539566,27,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940620628957,27,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940631884883,26,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940624064295,25,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940632436307,25,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940618694827,17,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940614623455,17,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940626308697,88,84,720575940610708430,720575940611254681,13,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940628199802,28,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940639813365,22,6,720575940610708430,720575940643539566,27,4
