From,To,Neuropil,Synapses,Neuro Transmitter
720575940631082124,720575940610683315,GNG,20,ACH
720575940610683315,720575940617671285,GNG,18,ACH
720575940610683315,720575940617671285,PRW,1,ACH
720575940610683315,720575940638218173,GNG,19,ACH
720575940624079544,720575940614211295,GNG,19,ACH
720575940626016017,720575940638218173,GNG,18,ACH
720575940631082124,720575940617671285,GNG,18,ACH
720575940628198503,720575940610683315,GNG,18,ACH
720575940628198503,720575940612920386,GNG,17,ACH
720575940626016017,720575940610683315,GNG,16,ACH
720575940626016017,720575940610683315,PRW,1,ACH
720575940621375231,720575940617671285,GNG,16,ACH
720575940621375231,720575940626016017,PRW,1,ACH
720575940621375231,720575940626016017,GNG,15,ACH
720575940612920386,720575940637956698,GNG,15,ACH
720575940612920386,720575940637956698,SAD,1,ACH
720575940638218173,720575940617671285,GNG,16,ACH
720575940614211295,720575940637956698,PRW,1,ACH
720575940614211295,720575940637956698,GNG,14,ACH
720575940612920386,720575940624079544,GNG,15,ACH
720575940626016017,720575940631082124,GNG,14,ACH
720575940635507380,720575940632556831,LH_L,3,ACH
720575940635507380,720575940632556831,SAD,1,ACH
720575940635507380,720575940632556831,SLP_L,9,ACH
720575940614211295,720575940628198503,GNG,13,ACH
720575940624079544,720575940638218173,GNG,12,ACH
720575940631082124,720575940628198503,GNG,12,ACH
720575940624079544,720575940626016017,GNG,11,ACH
720575940628198503,720575940638218173,GNG,11,ACH
720575940612920386,720575940610683315,GNG,11,ACH
720575940628198503,720575940626016017,GNG,11,ACH
720575940626016017,720575940621375231,GNG,11,ACH
720575940624079544,720575940631082124,GNG,11,ACH
720575940639623795,720575940649812857,PLP_L,3,ACH
720575940639623795,720575940649812857,SLP_L,4,ACH
720575940639623795,720575940649812857,GNG,3,ACH
720575940610683315,720575940624079544,GNG,10,ACH
720575940610683315,720575940628198503,GNG,10,ACH
720575940612920386,720575940631082124,GNG,9,ACH
720575940626016017,720575940617671285,GNG,9,ACH
720575940626016017,720575940628198503,GNG,9,ACH
720575940638218173,720575940624079544,GNG,9,ACH
720575940626016017,720575940614211295,GNG,8,ACH
720575940624079544,720575940610683315,GNG,8,ACH
720575940614211295,720575940626016017,GNG,8,ACH
720575940628198503,720575940614211295,GNG,8,ACH
720575940613524973,720575940637956698,SLP_L,4,ACH
720575940613524973,720575940637956698,AL_L,1,ACH
720575940613524973,720575940637956698,SCL_L,1,ACH
720575940613524973,720575940637956698,SIP_L,1,ACH
720575940612920386,720575940626016017,GNG,7,ACH
720575940621375231,720575940628198503,GNG,7,ACH
720575940612920386,720575940615274425,GNG,6,ACH
720575940612920386,720575940615274425,PRW,1,ACH
720575940610683315,720575940612920386,GNG,7,ACH
720575940612920386,720575940638218173,GNG,7,ACH
720575940628198503,720575940621375231,GNG,7,ACH
720575940631082124,720575940624079544,GNG,6,ACH
720575940639623795,720575940660313729,SAD,2,ACH
720575940639623795,720575940660313729,SCL_L,1,ACH
720575940639623795,720575940660313729,GNG,3,ACH
720575940615274425,720575940626241636,GNG,5,ACH
720575940615274425,720575940626241636,PRW,1,ACH
720575940612920386,720575940626241636,GNG,6,ACH
720575940614211295,720575940613524973,GNG,6,ACH
720575940631082124,720575940637956698,GNG,6,ACH
720575940649812857,720575940625298276,GNG,6,ACH
720575940612920386,720575940621375231,GNG,4,ACH
720575940612920386,720575940621375231,PRW,1,ACH
720575940610683315,720575940637956698,GNG,5,ACH
720575940614211295,720575940615274425,GNG,5,ACH
720575940614211295,720575940610683315,GNG,5,ACH
720575940626241636,720575940612920386,GNG,5,ACH
720575940639623795,720575940625298276,GNG,5,ACH
