from \ to,720575940650527222,720575940603765280,720575940612923390,720575940628363820,720575940611254681,720575940631884883,720575940643539566,720575940622897639,720575940625379859,720575940615911380,720575940623081400,720575940615043112,720575940628199802,720575940618694827,720575940632436307,720575940614623455,720575940624064295,720575940620628957
720575940616885538,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
720575940630233916,3,3,4,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4
720575940639332736,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
720575940632889389,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
720575940632425919,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
720575940617000768,3,3,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4
720575940637568838,3,3,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4
720575940629176663,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
720575940621502051,3,3,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4
720575940638202345,3,3,4,3,4,4,3,3,3,3,3,3,3,3,4,3,4,4
720575940612670570,3,3,4,3,4,4,3,3,3,3,3,4,3,3,3,3,4,4
720575940611875570,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
720575940621754367,3,3,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4
720575940633143833,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
720575940613601698,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
720575940630797113,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
720575940639198653,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
720575940639259967,3,4,4,4,4,4,3,4,3,3,3,4,3,3,4,3,4,4
720575940624963786,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4
720575940640649691,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
720575940610788069,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
720575940623172843,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
720575940628853239,3,3,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4
