pre,post,weight,pre_group,post_group,pre_x,post_x,weight_x,pre_y,post_y,weight_y
720575940626016017,720575940620553094,38,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940620625880,20
720575940626016017,720575940620553094,38,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940627921182,5
720575940626016017,720575940620553094,38,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940637686750,18,720575940637686750,720575940632512156,13
720575940621375231,720575940620553094,35,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940620625880,20
720575940621375231,720575940620553094,35,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940627921182,5
720575940621375231,720575940620553094,35,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940637686750,18,720575940637686750,720575940632512156,13
720575940628198503,720575940620553094,33,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940620625880,20
720575940628198503,720575940620553094,33,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940627921182,5
720575940628198503,720575940620553094,33,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940637686750,18,720575940637686750,720575940632512156,13
720575940610683315,720575940614635175,32,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940637686750,19,720575940637686750,720575940632512156,13
720575940610683315,720575940614635175,32,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940620625880,20
720575940610683315,720575940614635175,32,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940627921182,5
720575940611849178,720575940616759014,31,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940621698542,21,720575940621698542,720575940620625880,9
720575940611849178,720575940616759014,31,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637861294,8,720575940637861294,720575940642312136,7
720575940611849178,720575940616759014,31,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940617406548,7,720575940617406548,720575940620625880,13
720575940611849178,720575940616759014,31,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940617406548,7,720575940617406548,720575940632512156,8
720575940611849178,720575940616759014,31,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940624007207,5,720575940624007207,720575940627921182,5
720575940611849178,720575940616759014,31,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940621257340,9
720575940611849178,720575940616759014,31,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940632512156,9
720575940611849178,720575940616759014,31,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940620625880,8
720575940611849178,720575940616759014,31,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940627921182,6
720575940638218173,720575940620553094,31,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940620625880,20
720575940638218173,720575940620553094,31,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940627921182,5
720575940638218173,720575940620553094,31,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940637686750,18,720575940637686750,720575940632512156,13
720575940637747519,720575940614635175,30,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940637686750,19,720575940637686750,720575940632512156,13
720575940637747519,720575940614635175,30,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940620625880,20
720575940637747519,720575940614635175,30,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940627921182,5
720575940637747519,720575940620553094,30,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940620625880,20
720575940637747519,720575940620553094,30,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940627921182,5
720575940637747519,720575940620553094,30,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940637686750,18,720575940637686750,720575940632512156,13
720575940625450498,720575940614635175,28,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940637686750,19,720575940637686750,720575940632512156,13
720575940625450498,720575940614635175,28,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940620625880,20
720575940625450498,720575940614635175,28,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940627921182,5
720575940638813016,720575940620553094,28,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940620625880,20
720575940638813016,720575940620553094,28,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940627921182,5
720575940638813016,720575940620553094,28,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940637686750,18,720575940637686750,720575940632512156,13
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940621698542,53,720575940621698542,720575940620625880,9
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940631371991,8,720575940631371991,720575940627921182,8
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940631371991,8,720575940631371991,720575940621257340,7
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940616187754,7,720575940616187754,720575940620625880,23
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940616187754,7,720575940616187754,720575940632512156,9
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940621257340,7
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940620625880,6
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940642312136,5
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940624007207,6,720575940624007207,720575940627921182,5
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940621257340,9
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940632512156,9
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940620625880,8
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940627921182,6
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940617406548,5,720575940617406548,720575940620625880,13
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940617406548,5,720575940617406548,720575940632512156,8
720575940624079544,720575940617671285,28,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637861294,5,720575940637861294,720575940642312136,7
720575940625450498,720575940620553094,27,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940620625880,20
720575940625450498,720575940620553094,27,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940627921182,5
720575940625450498,720575940620553094,27,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940637686750,18,720575940637686750,720575940632512156,13
720575940621375231,720575940614635175,26,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940637686750,19,720575940637686750,720575940632512156,13
720575940621375231,720575940614635175,26,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940620625880,20
720575940621375231,720575940614635175,26,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940627921182,5
720575940627402568,720575940616759014,25,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940621698542,21,720575940621698542,720575940620625880,9
720575940627402568,720575940616759014,25,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637861294,8,720575940637861294,720575940642312136,7
720575940627402568,720575940616759014,25,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940617406548,7,720575940617406548,720575940620625880,13
720575940627402568,720575940616759014,25,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940617406548,7,720575940617406548,720575940632512156,8
720575940627402568,720575940616759014,25,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940624007207,5,720575940624007207,720575940627921182,5
720575940627402568,720575940616759014,25,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940621257340,9
720575940627402568,720575940616759014,25,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940632512156,9
720575940627402568,720575940616759014,25,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940620625880,8
720575940627402568,720575940616759014,25,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940627921182,6
720575940628198503,720575940637956698,24,Ir94e,hop 1 acetylcholine interneuron,720575940637956698,720575940612490958,7,720575940612490958,720575940627921182,92
720575940628198503,720575940637956698,24,Ir94e,hop 1 acetylcholine interneuron,720575940637956698,720575940612490958,7,720575940612490958,720575940642312136,36
720575940628198503,720575940637956698,24,Ir94e,hop 1 acetylcholine interneuron,720575940637956698,720575940612490958,7,720575940612490958,720575940621257340,20
720575940624079544,720575940637956698,24,Ir94e,hop 1 acetylcholine interneuron,720575940637956698,720575940612490958,7,720575940612490958,720575940627921182,92
720575940624079544,720575940637956698,24,Ir94e,hop 1 acetylcholine interneuron,720575940637956698,720575940612490958,7,720575940612490958,720575940642312136,36
720575940624079544,720575940637956698,24,Ir94e,hop 1 acetylcholine interneuron,720575940637956698,720575940612490958,7,720575940612490958,720575940621257340,20
720575940643065032,720575940616759014,23,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940621698542,21,720575940621698542,720575940620625880,9
720575940643065032,720575940616759014,23,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637861294,8,720575940637861294,720575940642312136,7
720575940643065032,720575940616759014,23,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940617406548,7,720575940617406548,720575940620625880,13
720575940643065032,720575940616759014,23,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940617406548,7,720575940617406548,720575940632512156,8
720575940643065032,720575940616759014,23,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940624007207,5,720575940624007207,720575940627921182,5
720575940643065032,720575940616759014,23,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940621257340,9
720575940643065032,720575940616759014,23,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940632512156,9
720575940643065032,720575940616759014,23,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940620625880,8
720575940643065032,720575940616759014,23,Ir94e,GNG.SLP.T1 (R),720575940616759014,720575940637878854,5,720575940637878854,720575940627921182,6
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940621698542,53,720575940621698542,720575940620625880,9
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940631371991,8,720575940631371991,720575940627921182,8
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940631371991,8,720575940631371991,720575940621257340,7
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940616187754,7,720575940616187754,720575940620625880,23
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940616187754,7,720575940616187754,720575940632512156,9
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940621257340,7
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940620625880,6
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940642312136,5
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940624007207,6,720575940624007207,720575940627921182,5
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940621257340,9
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940632512156,9
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940620625880,8
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940627921182,6
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940617406548,5,720575940617406548,720575940620625880,13
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940617406548,5,720575940617406548,720575940632512156,8
720575940612920386,720575940617671285,23,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637861294,5,720575940637861294,720575940642312136,7
720575940621898665,720575940620553094,22,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940620625880,20
720575940621898665,720575940620553094,22,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940635807130,19,720575940635807130,720575940627921182,5
720575940621898665,720575940620553094,22,Ir94e,hop 1 gaba interneuron,720575940620553094,720575940637686750,18,720575940637686750,720575940632512156,13
720575940621898665,720575940614635175,22,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940637686750,19,720575940637686750,720575940632512156,13
720575940621898665,720575940614635175,22,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940620625880,20
720575940621898665,720575940614635175,22,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940627921182,5
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940621698542,53,720575940621698542,720575940620625880,9
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940631371991,8,720575940631371991,720575940627921182,8
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940631371991,8,720575940631371991,720575940621257340,7
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940616187754,7,720575940616187754,720575940620625880,23
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940616187754,7,720575940616187754,720575940632512156,9
720575940628198503,720575940617671285,22,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940621257340,7
