pre,post,weight,pre_group,post_group,pre_x,post_x,weight_x,pre_y,post_y,weight_y
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940631371991,8,720575940631371991,720575940621257340,7
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940616187754,7,720575940616187754,720575940620625880,23
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940616187754,7,720575940616187754,720575940632512156,9
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940621257340,7
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940620625880,6
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940604395436,7,720575940604395436,720575940642312136,5
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940624007207,6,720575940624007207,720575940627921182,5
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940621257340,9
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940632512156,9
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940620625880,8
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637878854,6,720575940637878854,720575940627921182,6
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940617406548,5,720575940617406548,720575940620625880,13
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940617406548,5,720575940617406548,720575940632512156,8
720575940614211295,720575940617671285,41,Ir94e,GNG.SLP.T1 (L),720575940617671285,720575940637861294,5,720575940637861294,720575940642312136,7
720575940638813016,720575940614635175,41,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940637686750,19,720575940637686750,720575940632512156,13
720575940638813016,720575940614635175,41,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940620625880,20
720575940638813016,720575940614635175,41,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940627921182,5
720575940628198503,720575940614635175,39,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940637686750,19,720575940637686750,720575940632512156,13
720575940628198503,720575940614635175,39,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940620625880,20
720575940628198503,720575940614635175,39,Ir94e,hop 1 gaba interneuron,720575940614635175,720575940635807130,10,720575940635807130,720575940627921182,5
