root_id,group
720575941734023979,ORN
720575941393278212,ORN
720575941394034070,ORN
720575941408510638,ORN
720575941410638612,ORN
720575941411777647,ORN
720575941412528043,ORN
720575941412529007,ORN
720575941413608084,ORN
720575941414779796,ORN
720575941427755348,ORN
720575941430295544,ORN
720575941430409391,ORN
720575941430480120,ORN
720575941430923512,ORN
720575941431269513,ORN
720575941431303160,ORN
720575941431388847,ORN
720575941431652015,ORN
720575941432002263,ORN
720575941432035031,ORN
720575941432411233,ORN
720575941432422241,ORN
720575941432443785,ORN
720575941432458633,ORN
720575941433144590,ORN
720575941433219086,ORN
720575941433366542,ORN
720575941433457623,ORN
720575941433569038,ORN
720575941435397006,ORN
720575941435472928,ORN
720575941435800462,ORN
720575941436366624,ORN
720575941436710542,ORN
720575941437962540,ORN
720575941439666194,ORN
720575941439704639,ORN
720575941439705567,ORN
720575941439737618,ORN
720575941439777759,ORN
720575941439987474,ORN
720575941440348863,ORN
720575941440714075,ORN
720575941441370815,ORN
720575941441749199,ORN
720575941441815899,ORN
720575941442501583,ORN
720575941444034986,ORN
720575941444074410,ORN
720575941445163690,ORN
720575941447481364,ORN
720575941449183669,ORN
720575941450254773,ORN
720575941450349917,ORN
720575941450911566,ORN
720575941450913870,ORN
720575941451065978,ORN
720575941451959118,ORN
720575941452039802,ORN
720575941452381865,ORN
720575941452704681,ORN
720575941452868679,ORN
720575941453038663,ORN
720575941453527721,ORN
720575941454707625,ORN
720575941455982643,ORN
720575941456025837,ORN
720575941458080240,ORN
720575941459546527,ORN
720575941460054687,ORN
720575941460254704,ORN
720575941461001924,ORN
720575941461529043,ORN
720575941461535187,ORN
720575941461636307,ORN
720575941461815251,ORN
720575941461910468,ORN
720575941461959876,ORN
720575941463929357,ORN
720575941465890646,ORN
720575941467736854,ORN
720575941467840278,ORN
720575941471260171,ORN
720575941471419712,ORN
720575941472729099,ORN
720575941474129760,ORN
720575941475405115,ORN
720575941475820091,ORN
720575941476028458,ORN
720575941476225822,ORN
720575941476715585,ORN
720575941476720670,ORN
720575941477408798,ORN
720575941477830721,ORN
720575941478317617,ORN
720575941479405930,ORN
720575941479470816,ORN
720575941480337376,ORN
720575941480848803,ORN
720575941481016483,ORN
720575941481035343,ORN
720575941481095843,ORN
720575941481440707,ORN
720575941481447107,ORN
720575941482150342,ORN
720575941482185667,ORN
720575941482212003,ORN
720575941482362051,ORN
720575941482703811,ORN
720575941483070662,ORN
720575941483339462,ORN
720575941483598333,ORN
720575941483986429,ORN
720575941484093437,ORN
720575941484291069,ORN
720575941486561165,ORN
720575941486600514,ORN
720575941486696077,ORN
720575941486825990,ORN
720575941487022342,ORN
720575941487790733,ORN
720575941490513868,ORN
720575941491218638,ORN
720575941492013543,ORN
720575941492606412,ORN
720575941493816752,ORN
720575941495493246,ORN
720575941496157383,ORN
720575941496228992,ORN
720575941496261246,ORN
720575941496384126,ORN
720575941496480711,ORN
720575941496830336,ORN
720575941497838459,ORN
720575941499160649,ORN
720575941499230689,ORN
720575941499528265,ORN
720575941501205899,ORN
720575941501570699,ORN
720575941502095243,ORN
720575941503083147,ORN
720575941503779307,ORN
720575941503779563,ORN
720575941504524482,ORN
720575941504896562,ORN
720575941504941035,ORN
720575941505451202,ORN
720575941505604914,ORN
720575941506143255,ORN
720575941506723644,ORN
720575941506869157,ORN
720575941507504805,ORN
720575941508014370,ORN
720575941508486238,ORN
720575941508586625,ORN
720575941508623685,ORN
720575941508702277,ORN
720575941512924881,ORN
720575941512929489,ORN
720575941513295057,ORN
720575941513940812,ORN
720575941514984401,ORN
720575941515989347,ORN
720575941515994211,ORN
720575941515995747,ORN
720575941516166746,ORN
720575941516359673,ORN
720575941516363513,ORN
720575941518142099,ORN
720575941519365848,ORN
720575941520403310,ORN
720575941520988343,ORN
720575941521343667,ORN
720575941523277815,ORN
720575941523313739,ORN
720575941523651831,ORN
720575941524451659,ORN
720575941525620811,ORN
720575941525622603,ORN
720575941525851211,ORN
720575941526718466,ORN
720575941526751053,ORN
720575941526845796,ORN
720575941526958180,ORN
720575941526975844,ORN
720575941526988802,ORN
720575941527014500,ORN
720575941527231821,ORN
720575941527485209,ORN
720575941528140132,ORN
720575941529138598,ORN
720575941531598283,ORN
720575941532695427,ORN
720575941533107685,ORN
720575941533120485,ORN
720575941533665411,ORN
720575941534113880,ORN
720575941534541400,ORN
720575941534584554,ORN
720575941534896306,ORN
