pre_root_id,post_root_id,syn_count,direction
720575941343170595,720575941439824402,3,ORN_to_oviDN
720575941343170595,720575941441694555,5,ORN_to_oviDN
720575941343170595,720575941484789178,3,ORN_to_oviDN
720575941343170595,720575941492598476,5,ORN_to_oviDN
720575941343170595,720575941504989015,3,ORN_to_oviDN
720575941343170595,720575941557433060,5,ORN_to_oviDN
720575941343170595,720575941591148343,4,ORN_to_oviDN
720575941343170595,720575941596694823,3,ORN_to_oviDN
720575941343170595,720575941612271946,9,ORN_to_oviDN
720575941351883568,720575941441821275,9,ORN_to_oviDN
720575941352042288,720575941575561885,3,ORN_to_oviDN
720575941352084784,720575941416341276,13,ORN_to_oviDN
720575941352084784,720575941439576917,3,ORN_to_oviDN
720575941352084784,720575941439824402,4,ORN_to_oviDN
720575941352084784,720575941484888250,24,ORN_to_oviDN
720575941352084784,720575941516418883,3,ORN_to_oviDN
720575941352084784,720575941519202732,6,ORN_to_oviDN
720575941352084784,720575941528270338,3,ORN_to_oviDN
720575941352084784,720575941552796990,17,ORN_to_oviDN
720575941352084784,720575941553728410,3,ORN_to_oviDN
720575941352084784,720575941553915546,12,ORN_to_oviDN
720575941352084784,720575941566876055,3,ORN_to_oviDN
720575941352084784,720575941590190846,12,ORN_to_oviDN
720575941352084784,720575941596694823,4,ORN_to_oviDN
720575941352084784,720575941606127550,4,ORN_to_oviDN
720575941352084784,720575941653322517,19,ORN_to_oviDN
720575941352084784,720575941653756145,10,ORN_to_oviDN
720575941352084784,720575941658668056,5,ORN_to_oviDN
720575941352132912,720575941441821275,3,ORN_to_oviDN
720575941352539440,720575941484888250,15,ORN_to_oviDN
720575941352539440,720575941553915546,20,ORN_to_oviDN
720575941352539440,720575941590190846,13,ORN_to_oviDN
720575941352539440,720575941658668056,6,ORN_to_oviDN
720575941352825904,720575941439824402,3,ORN_to_oviDN
720575941352825904,720575941474918442,3,ORN_to_oviDN
720575941352825904,720575941496973952,6,ORN_to_oviDN
720575941352825904,720575941555700307,3,ORN_to_oviDN
720575941352825904,720575941560591917,3,ORN_to_oviDN
720575941352825904,720575941561384493,3,ORN_to_oviDN
720575941352825904,720575941562877229,19,ORN_to_oviDN
720575941352825904,720575941586873478,36,ORN_to_oviDN
720575941352825904,720575941596694823,4,ORN_to_oviDN
720575941352825904,720575941604964030,3,ORN_to_oviDN
720575941352825904,720575941606127550,4,ORN_to_oviDN
720575941352825904,720575941611690086,3,ORN_to_oviDN
720575941352825904,720575941653756145,6,ORN_to_oviDN
720575941352825904,720575941658668056,3,ORN_to_oviDN
720575941352877616,720575941391589380,8,ORN_to_oviDN
720575941352877616,720575941411131819,15,ORN_to_oviDN
720575941352877616,720575941413768815,4,ORN_to_oviDN
720575941352877616,720575941426847316,7,ORN_to_oviDN
720575941352877616,720575941432132961,7,ORN_to_oviDN
720575941352877616,720575941435013664,5,ORN_to_oviDN
720575941352877616,720575941435546510,8,ORN_to_oviDN
720575941352877616,720575941438701612,7,ORN_to_oviDN
720575941352877616,720575941445147306,11,ORN_to_oviDN
720575941352877616,720575941451549562,4,ORN_to_oviDN
720575941352877616,720575941461526928,5,ORN_to_oviDN
720575941352877616,720575941461966532,4,ORN_to_oviDN
720575941352877616,720575941463588240,4,ORN_to_oviDN
720575941352877616,720575941466982742,16,ORN_to_oviDN
720575941352877616,720575941471697419,3,ORN_to_oviDN
720575941352877616,720575941474035481,3,ORN_to_oviDN
720575941352877616,720575941474871338,18,ORN_to_oviDN
720575941352877616,720575941475472443,6,ORN_to_oviDN
720575941352877616,720575941477223217,3,ORN_to_oviDN
720575941352877616,720575941477294878,4,ORN_to_oviDN
720575941352877616,720575941477870913,3,ORN_to_oviDN
720575941352877616,720575941478490433,10,ORN_to_oviDN
720575941352877616,720575941486511682,8,ORN_to_oviDN
720575941352877616,720575941496973952,5,ORN_to_oviDN
720575941352877616,720575941496984704,27,ORN_to_oviDN
720575941352877616,720575941500864418,5,ORN_to_oviDN
720575941352877616,720575941507559749,11,ORN_to_oviDN
720575941352877616,720575941508603205,3,ORN_to_oviDN
720575941352877616,720575941509200990,11,ORN_to_oviDN
720575941352877616,720575941509220642,3,ORN_to_oviDN
720575941352877616,720575941515346508,9,ORN_to_oviDN
720575941352877616,720575941515802467,16,ORN_to_oviDN
720575941352877616,720575941526886500,9,ORN_to_oviDN
720575941352877616,720575941527668482,36,ORN_to_oviDN
720575941352877616,720575941534032101,5,ORN_to_oviDN
720575941352877616,720575941535075250,4,ORN_to_oviDN
720575941352877616,720575941535774986,3,ORN_to_oviDN
720575941352877616,720575941537352970,9,ORN_to_oviDN
720575941352877616,720575941537896474,4,ORN_to_oviDN
720575941352877616,720575941538867683,4,ORN_to_oviDN
720575941352877616,720575941540370069,11,ORN_to_oviDN
720575941352877616,720575941544128797,6,ORN_to_oviDN
720575941352877616,720575941546221573,6,ORN_to_oviDN
720575941352877616,720575941557120769,5,ORN_to_oviDN
720575941352877616,720575941560124175,8,ORN_to_oviDN
720575941352877616,720575941560341107,16,ORN_to_oviDN
720575941352877616,720575941560622195,7,ORN_to_oviDN
720575941352877616,720575941561333230,18,ORN_to_oviDN
720575941352877616,720575941564087296,5,ORN_to_oviDN
720575941352877616,720575941564149416,17,ORN_to_oviDN
720575941352877616,720575941564200082,13,ORN_to_oviDN
720575941352877616,720575941565614343,4,ORN_to_oviDN
720575941352877616,720575941566668898,12,ORN_to_oviDN
720575941352877616,720575941568341294,3,ORN_to_oviDN
720575941352877616,720575941568417582,8,ORN_to_oviDN
720575941352877616,720575941573540168,3,ORN_to_oviDN
720575941352877616,720575941584738399,9,ORN_to_oviDN
720575941352877616,720575941585418335,8,ORN_to_oviDN
720575941352877616,720575941585819999,55,ORN_to_oviDN
720575941352877616,720575941586873478,19,ORN_to_oviDN
720575941352877616,720575941587764702,27,ORN_to_oviDN
720575941352877616,720575941590190846,11,ORN_to_oviDN
720575941352877616,720575941593782891,9,ORN_to_oviDN
720575941352877616,720575941595240229,5,ORN_to_oviDN
720575941352877616,720575941595295525,11,ORN_to_oviDN
720575941352877616,720575941596424741,7,ORN_to_oviDN
720575941352877616,720575941599987648,27,ORN_to_oviDN
720575941352877616,720575941605177534,7,ORN_to_oviDN
720575941352877616,720575941607866477,7,ORN_to_oviDN
720575941352877616,720575941613506989,45,ORN_to_oviDN
720575941352877616,720575941614581779,4,ORN_to_oviDN
720575941352877616,720575941617708501,3,ORN_to_oviDN
720575941352877616,720575941620239743,7,ORN_to_oviDN
720575941352877616,720575941624151690,5,ORN_to_oviDN
720575941352877616,720575941632371436,3,ORN_to_oviDN
720575941352877616,720575941633338528,4,ORN_to_oviDN
720575941352877616,720575941645294200,8,ORN_to_oviDN
720575941352877616,720575941646196385,3,ORN_to_oviDN
720575941352877616,720575941652027669,3,ORN_to_oviDN
720575941352877616,720575941653217813,4,ORN_to_oviDN
720575941352877616,720575941653646609,4,ORN_to_oviDN
720575941352877616,720575941671236775,3,ORN_to_oviDN
720575941352877616,720575941688038412,4,ORN_to_oviDN
720575941352877616,720575941688819980,3,ORN_to_oviDN
720575941352877616,720575941690034651,3,ORN_to_oviDN
720575941352877616,720575941734311723,7,ORN_to_oviDN
720575941352918576,720575941499893154,3,ORN_to_oviDN
720575941352972848,720575941461966532,3,ORN_to_oviDN
720575941352972848,720575941500864418,5,ORN_to_oviDN
720575941352972848,720575941596424741,14,ORN_to_oviDN
720575941352972848,720575941646196385,7,ORN_to_oviDN
720575941353006896,720575941462378692,3,ORN_to_oviDN
720575941353056816,720575941477262388,6,ORN_to_oviDN
720575941353056816,720575941482244547,4,ORN_to_oviDN
720575941353056816,720575941533275365,35,ORN_to_oviDN
720575941353056816,720575941547367604,3,ORN_to_oviDN
720575941353056816,720575941550226804,24,ORN_to_oviDN
720575941353056816,720575941597223025,3,ORN_to_oviDN
720575941353056816,720575941620273023,26,ORN_to_oviDN
720575941353056816,720575941641538079,30,ORN_to_oviDN
720575941353074480,720575941412849775,3,ORN_to_oviDN
720575941353074480,720575941564967175,5,ORN_to_oviDN
720575941353092656,720575941440304172,7,ORN_to_oviDN
720575941353201712,720575941436229518,3,ORN_to_oviDN
720575941353201712,720575941510648848,3,ORN_to_oviDN
720575941353201712,720575941632279788,4,ORN_to_oviDN
720575941353201712,720575941690148315,4,ORN_to_oviDN
720575941353204016,720575941521454003,3,ORN_to_oviDN
720575941353213744,720575941483539654,5,ORN_to_oviDN
720575941353213744,720575941490721333,3,ORN_to_oviDN
720575941353213744,720575941509893505,3,ORN_to_oviDN
720575941353213744,720575941535087704,3,ORN_to_oviDN
720575941353213744,720575941543230237,8,ORN_to_oviDN
720575941353213744,720575941563169170,3,ORN_to_oviDN
720575941353213744,720575941607529325,3,ORN_to_oviDN
720575941353320496,720575941558640932,6,ORN_to_oviDN
720575941353462832,720575941528147878,13,ORN_to_oviDN
720575941353462832,720575941546221573,10,ORN_to_oviDN
720575941353897264,720575941437367328,7,ORN_to_oviDN
720575941353901104,720575941564967175,8,ORN_to_oviDN
720575941353907760,720575941514757964,3,ORN_to_oviDN
720575941354078000,720575941624003324,5,ORN_to_oviDN
720575941354078000,720575941625363452,5,ORN_to_oviDN
720575941354078000,720575941646667976,4,ORN_to_oviDN
720575941354201904,720575941614407900,4,ORN_to_oviDN
720575941354218288,720575941472725771,4,ORN_to_oviDN
720575941354218288,720575941478473066,9,ORN_to_oviDN
720575941354218288,720575941481225039,3,ORN_to_oviDN
720575941354218288,720575941522006711,3,ORN_to_oviDN
720575941354218288,720575941527668482,4,ORN_to_oviDN
720575941354218288,720575941539183331,3,ORN_to_oviDN
720575941354218288,720575941555414273,3,ORN_to_oviDN
720575941354218288,720575941556996388,15,ORN_to_oviDN
720575941354218288,720575941558608676,15,ORN_to_oviDN
720575941354218288,720575941568458286,5,ORN_to_oviDN
720575941354218288,720575941585819999,3,ORN_to_oviDN
720575941354218288,720575941595240229,9,ORN_to_oviDN
720575941354218288,720575941596694823,3,ORN_to_oviDN
720575941354218288,720575941606127550,4,ORN_to_oviDN
720575941354218288,720575941613506989,6,ORN_to_oviDN
720575941354281776,720575941440543323,3,ORN_to_oviDN
720575941354281776,720575941472329568,4,ORN_to_oviDN
720575941354281776,720575941519119532,3,ORN_to_oviDN
720575941354281776,720575941616011929,3,ORN_to_oviDN
720575941354281776,720575941619021269,7,ORN_to_oviDN
720575941354378032,720575941394900886,3,ORN_to_oviDN
720575941354378032,720575941402007331,13,ORN_to_oviDN
720575941354378032,720575941412477355,4,ORN_to_oviDN
720575941354378032,720575941438563039,3,ORN_to_oviDN
720575941354378032,720575941440284245,4,ORN_to_oviDN
720575941354378032,720575941452862535,18,ORN_to_oviDN
