from,to,weight,from_group,to_group
720575940612289010,720575940624987394,12,Sugar-SELs,hop 1 glutamate interneuron
720575940622474899,720575940621942021,7,Sugar-SELs,hop 1 acetylcholine interneuron
720575940612289010,720575940606137632,7,Sugar-SELs,hop 1 acetylcholine interneuron
720575940612289010,720575940626146125,6,Sugar-SELs,hop 1 acetylcholine interneuron
720575940622474899,720575940621602743,5,Sugar-SELs,hop 1 glutamate interneuron
720575940636895406,720575940620506996,34,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940620506996,28,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940613747734,28,Sugar-SELs,hop 1 acetylcholine interneuron
720575940636895406,720575940613747734,24,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940635527092,19,Sugar-SELs,hop 1 acetylcholine interneuron
720575940636895406,720575940635527092,17,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940636111735,9,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940610610841,8,Sugar-SELs,hop 1 serotonin interneuron
720575940635239672,720575940615376863,8,Sugar-SELs,hop 1 glutamate interneuron
720575940636895406,720575940621827419,8,Sugar-SELs,hop 1 acetylcholine interneuron
720575940636895406,720575940632524559,7,Sugar-SELs,hop 1 gaba interneuron
720575940635239672,720575940620833901,7,Sugar-SELs,hop 1 acetylcholine interneuron
720575940636895406,720575940606366850,7,Sugar-SELs,hop 1 acetylcholine interneuron
720575940636895406,720575940620833901,7,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940632524559,7,Sugar-SELs,hop 1 gaba interneuron
720575940635239672,720575940631459923,6,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940627426835,6,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940620134638,6,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940623139341,6,Sugar-SELs,hop 1 glutamate interneuron
720575940636895406,720575940629543409,6,Sugar-SELs,hop 1 acetylcholine interneuron
720575940636895406,720575940628504849,6,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940635211768,5,Sugar-SELs,hop 1 gaba interneuron
720575940635239672,720575940631829279,5,Sugar-SELs,hop 1 glutamate interneuron
720575940635239672,720575940626376600,5,Sugar-SELs,hop 1 glutamate interneuron
720575940635239672,720575940620096171,5,Sugar-SELs,hop 1 dopamine interneuron
720575940635239672,720575940623432918,5,Sugar-SELs,hop 1 gaba interneuron
720575940635239672,720575940620170887,5,Sugar-SELs,hop 1 acetylcholine interneuron
720575940635239672,720575940625841241,5,Sugar-SELs,hop 1 glutamate interneuron
720575940635239672,720575940623333964,5,Sugar-SELs,hop 1 gaba interneuron
720575940636895406,720575940633007073,5,Sugar-SELs,hop 1 serotonin interneuron
720575940635239672,720575940628354216,5,Sugar-SELs,hop 1 acetylcholine interneuron
720575940636895406,720575940636574388,5,Sugar-SELs,hop 1 octopamine interneuron
