from,to,weight,from_group,to_group
720575940620506996,720575940621490721,69,hop 1 acetylcholine interneuron,hop 2 gaba interneuron
720575940620506996,720575940614950194,10,hop 1 acetylcholine interneuron,hop 2 acetylcholine interneuron
720575940620506996,720575940624608442,8,hop 1 acetylcholine interneuron,hop 2 acetylcholine interneuron
720575940620506996,720575940623040094,6,hop 1 acetylcholine interneuron,hop 2 acetylcholine interneuron
720575940613747734,720575940622834411,10,hop 1 acetylcholine interneuron,hop 2 acetylcholine interneuron
720575940635527092,720575940623777065,40,hop 1 acetylcholine interneuron,hop 2 gaba interneuron
720575940635527092,720575940622160705,23,hop 1 acetylcholine interneuron,hop 2 gaba interneuron
720575940635527092,720575940625053773,9,hop 1 acetylcholine interneuron,hop 2 serotonin interneuron
720575940635527092,720575940615871967,7,hop 1 acetylcholine interneuron,hop 2 serotonin interneuron
720575940635527092,720575940610708430,6,hop 1 acetylcholine interneuron,hop 2 glutamate interneuron
720575940636111735,720575940625053773,6,hop 1 acetylcholine interneuron,hop 2 serotonin interneuron
720575940610610841,720575940631309866,5,hop 1 serotonin interneuron,hop 2 serotonin interneuron
720575940615376863,720575940610384281,5,hop 1 glutamate interneuron,hop 2 glutamate interneuron
720575940615376863,720575940610708430,5,hop 1 glutamate interneuron,hop 2 glutamate interneuron
720575940621827419,720575940622834411,8,hop 1 acetylcholine interneuron,hop 2 acetylcholine interneuron
720575940621827419,720575940614950194,5,hop 1 acetylcholine interneuron,hop 2 acetylcholine interneuron
720575940632524559,720575940610708430,21,hop 1 gaba interneuron,hop 2 glutamate interneuron
720575940620833901,720575940623777065,36,hop 1 acetylcholine interneuron,hop 2 gaba interneuron
720575940620833901,720575940622160705,13,hop 1 acetylcholine interneuron,hop 2 gaba interneuron
720575940620833901,720575940625053773,11,hop 1 acetylcholine interneuron,hop 2 serotonin interneuron
720575940620833901,720575940610708430,10,hop 1 acetylcholine interneuron,hop 2 glutamate interneuron
720575940620833901,720575940631008824,5,hop 1 acetylcholine interneuron,hop 2 glutamate interneuron
720575940620833901,720575940621490721,5,hop 1 acetylcholine interneuron,hop 2 gaba interneuron
720575940606366850,720575940615871967,5,hop 1 acetylcholine interneuron,hop 2 serotonin interneuron
720575940631459923,720575940623777065,10,hop 1 acetylcholine interneuron,hop 2 gaba interneuron
720575940627426835,720575940625053773,20,hop 1 acetylcholine interneuron,hop 2 serotonin interneuron
720575940627426835,720575940615871967,6,hop 1 acetylcholine interneuron,hop 2 serotonin interneuron
720575940627426835,720575940610708430,6,hop 1 acetylcholine interneuron,hop 2 glutamate interneuron
720575940620134638,720575940625053773,27,hop 1 acetylcholine interneuron,hop 2 serotonin interneuron
720575940620134638,720575940615871967,15,hop 1 acetylcholine interneuron,hop 2 serotonin interneuron
720575940623139341,720575940622160705,12,hop 1 glutamate interneuron,hop 2 gaba interneuron
720575940623139341,720575940625053773,5,hop 1 glutamate interneuron,hop 2 serotonin interneuron
720575940629543409,720575940610708430,7,hop 1 acetylcholine interneuron,hop 2 glutamate interneuron
720575940628504849,720575940623777065,46,hop 1 acetylcholine interneuron,hop 2 gaba interneuron
720575940635211768,720575940622160705,10,hop 1 gaba interneuron,hop 2 gaba interneuron
720575940631829279,720575940622834411,5,hop 1 glutamate interneuron,hop 2 acetylcholine interneuron
720575940626376600,720575940606720265,7,hop 1 glutamate interneuron,hop 2 acetylcholine interneuron
720575940620096171,720575940621490721,9,hop 1 dopamine interneuron,hop 2 gaba interneuron
720575940620096171,720575940631309866,7,hop 1 dopamine interneuron,hop 2 serotonin interneuron
720575940623432918,720575940622160705,26,hop 1 gaba interneuron,hop 2 gaba interneuron
720575940623432918,720575940634721761,15,hop 1 gaba interneuron,hop 2 acetylcholine interneuron
720575940623432918,720575940623777065,7,hop 1 gaba interneuron,hop 2 gaba interneuron
720575940623432918,720575940622119861,6,hop 1 gaba interneuron,hop 2 acetylcholine interneuron
720575940623432918,720575940628903895,6,hop 1 gaba interneuron,hop 2 gaba interneuron
720575940623432918,720575940605030316,6,hop 1 gaba interneuron,hop 2 dopamine interneuron
720575940623432918,720575940607000450,5,hop 1 gaba interneuron,hop 2 dopamine interneuron
720575940623432918,720575940618413295,5,hop 1 gaba interneuron,hop 2 acetylcholine interneuron
720575940623432918,720575940619846932,5,hop 1 gaba interneuron,hop 2 acetylcholine interneuron
720575940620170887,720575940622834411,7,hop 1 acetylcholine interneuron,hop 2 acetylcholine interneuron
720575940620170887,720575940626021052,5,hop 1 acetylcholine interneuron,hop 2 serotonin interneuron
720575940625841241,720575940631309866,40,hop 1 glutamate interneuron,hop 2 serotonin interneuron
720575940623333964,720575940622160705,51,hop 1 gaba interneuron,hop 2 gaba interneuron
720575940623333964,720575940625053773,30,hop 1 gaba interneuron,hop 2 serotonin interneuron
720575940623333964,720575940623777065,5,hop 1 gaba interneuron,hop 2 gaba interneuron
720575940633007073,720575940623777065,11,hop 1 serotonin interneuron,hop 2 gaba interneuron
720575940628354216,720575940623777065,27,hop 1 acetylcholine interneuron,hop 2 gaba interneuron
720575940628354216,720575940634923700,5,hop 1 acetylcholine interneuron,hop 2 acetylcholine interneuron
720575940636574388,720575940610708430,12,hop 1 octopamine interneuron,hop 2 glutamate interneuron
720575940636574388,720575940623777065,8,hop 1 octopamine interneuron,hop 2 gaba interneuron
