from,to,weight,from_group,to_group
720575940623040094,720575940612923390,7,hop 3 acetylcholine interneuron,IPCs
720575940623040094,720575940615043112,5,hop 3 acetylcholine interneuron,IPCs
720575940631309866,720575940611254681,8,hop 3 serotonin interneuron,IPCs
720575940622160705,720575940628363820,5,hop 2 gaba interneuron,IPCs
720575940610708430,720575940650527222,56,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940603765280,45,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940615043112,44,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940612923390,36,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940625379859,31,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940622897639,30,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940628199802,28,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940643539566,27,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940620628957,27,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940631884883,26,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940624064295,25,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940632436307,25,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940623081400,24,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940628363820,22,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940618694827,17,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940614623455,17,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940611254681,13,hop 3 glutamate interneuron,IPCs
720575940610708430,720575940615911380,6,hop 3 glutamate interneuron,IPCs
720575940644948771,720575940632436307,30,hop 3 glutamate interneuron,IPCs
720575940642715040,720575940632436307,8,hop 3 glutamate interneuron,IPCs
720575940633711028,720575940618694827,10,hop 3 acetylcholine interneuron,IPCs
720575940619025780,720575940628199802,7,hop 2 gaba interneuron,IPCs
720575940630311528,720575940620628957,5,hop 2 serotonin interneuron,IPCs
720575940626021052,720575940628199802,9,hop 2 serotonin interneuron,IPCs
720575940626021052,720575940618694827,5,hop 2 serotonin interneuron,IPCs
720575940637718598,720575940612923390,8,hop 3 glutamate interneuron,IPCs
720575940621490721,720575940632436307,8,hop 2 gaba interneuron,IPCs
720575940613845516,720575940614623455,8,hop 3 gaba interneuron,IPCs
720575940613845516,720575940620628957,7,hop 3 gaba interneuron,IPCs
720575940633304601,720575940632436307,62,hop 3 glutamate interneuron,IPCs
720575940633304601,720575940620628957,28,hop 3 glutamate interneuron,IPCs
720575940633304601,720575940611254681,18,hop 3 glutamate interneuron,IPCs
720575940633304601,720575940614623455,9,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940643539566,53,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940628199802,34,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940611254681,33,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940618694827,22,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940624064295,21,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940631884883,20,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940632436307,6,hop 3 glutamate interneuron,IPCs
720575940615792523,720575940632436307,36,hop 3 glutamate interneuron,IPCs
720575940615792523,720575940611254681,13,hop 3 glutamate interneuron,IPCs
720575940624454221,720575940620628957,5,hop 3 acetylcholine interneuron,IPCs
720575940624454221,720575940611254681,5,hop 3 acetylcholine interneuron,IPCs
720575940614950194,720575940625379859,5,hop 3 acetylcholine interneuron,IPCs
720575940631915801,720575940615043112,5,hop 2 acetylcholine interneuron,IPCs
720575940625053773,720575940615043112,6,hop 3 serotonin interneuron,IPCs
720575940623777065,720575940615043112,5,hop 3 gaba interneuron,IPCs
720575940633304601,720575940625379859,19,hop 3 glutamate interneuron,IPCs
720575940633304601,720575940615043112,15,hop 3 glutamate interneuron,IPCs
720575940633304601,720575940612923390,11,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940615043112,40,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940625379859,33,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940612923390,28,hop 3 glutamate interneuron,IPCs
720575940631008824,720575940615911380,9,hop 3 glutamate interneuron,IPCs
720575940619025780,720575940615911380,5,hop 2 gaba interneuron,IPCs
720575940624454221,720575940615043112,5,hop 3 acetylcholine interneuron,IPCs
720575940618310229,720575940628363820,5,hop 3 acetylcholine interneuron,IPCs
720575940618310229,720575940620628957,5,hop 3 acetylcholine interneuron,IPCs
720575940630349905,720575940612923390,13,hop 3 acetylcholine interneuron,IPCs
720575940630349905,720575940628199802,12,hop 3 acetylcholine interneuron,IPCs
720575940630349905,720575940643539566,12,hop 3 acetylcholine interneuron,IPCs
720575940630349905,720575940631884883,9,hop 3 acetylcholine interneuron,IPCs
720575940630349905,720575940624064295,6,hop 3 acetylcholine interneuron,IPCs
720575940637718598,720575940615911380,7,hop 3 glutamate interneuron,IPCs
720575940633711028,720575940615911380,5,hop 3 acetylcholine interneuron,IPCs
720575940630311528,720575940623081400,5,hop 2 serotonin interneuron,IPCs
720575940622834411,720575940612923390,7,hop 3 acetylcholine interneuron,IPCs
720575940625320530,720575940628199802,10,hop 3 gaba interneuron,IPCs
720575940625320530,720575940625379859,8,hop 3 gaba interneuron,IPCs
720575940625320530,720575940612923390,7,hop 3 gaba interneuron,IPCs
720575940625320530,720575940615043112,6,hop 3 gaba interneuron,IPCs
720575940624454221,720575940623081400,5,hop 3 acetylcholine interneuron,IPCs
720575940634721761,720575940650527222,5,hop 3 acetylcholine interneuron,IPCs
720575940634721761,720575940643539566,5,hop 3 acetylcholine interneuron,IPCs
