pre_root_id,nt_type_x,syn_count,root_id,nt_type_y,nt_type_score
720575940604891360,GABA,6,720575940604891360,,0.0
720575940608471900,GABA,9,720575940608471900,,0.0
720575940622319715,GLUT,7,720575940622319715,,0.0
720575940623207885,ACH,21,720575940623207885,,0.0
720575940623207885,ACH,6,720575940623207885,,0.0
720575940623207885,ACH,7,720575940623207885,,0.0
720575940636990064,DA,5,720575940636990064,,0.0
